"統計名：","令和６年国民生活基礎調査 所得"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","320","","７００～７５０万円未満","","2.7","0.7","3.9","-","4.0","4.7","2.0","4.2"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","330","","７５０～８００万円未満","","2.7","0.9","3.7","-","3.7","3.8","1.9","4.2"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","350","","８００～８５０万円未満","","2.3","0.4","3.4","5.0","3.4","5.1","1.3","8.0"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","360","","８５０～９００万円未満","","2.1","0.5","3.1","-","3.1","4.3","1.5","7.1"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","380","","９００～９５０万円未満","","1.7","0.3","2.5","-","2.5","3.6","1.0","2.8"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","390","","９５０～１０００万円未満","","1.7","0.2","2.5","-","2.6","4.3","0.9","4.7"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","420","","１０００～１１００万円未満","","2.8","0.7","4.1","-","4.1","4.4","1.6","7.5"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","430","","１１００～１２００万円未満","","2.0","0.3","3.0","-","3.0","4.1","1.5","4.2"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","440","","１２００～１５００万円未満","","3.5","0.5","5.3","-","5.4","8.0","2.1","7.5"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","450","","１５００～２０００万円未満","","2.6","0.4","3.9","-","3.9","6.0","1.9","6.6"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","460","","２０００万円以上","","1.4","0.4","1.9","-","2.0","3.0","0.8","2.8"
"17","","2024年(令和6年)","2760","","１世帯当たり平均所得金額【万円】","110","","総数","","536.0","314.8","666.7","339.2","671.0","820.5","440.8","880.4"
"17","","2024年(令和6年)","2780","","世帯人員１人当たり平均所得金額【万円】","110","","総数","","243.6","206.7","256.4","137.0","257.9","204.0","211.3","220.1"
"17","","2024年(令和6年)","2950","","中央値【万円】","110","","総数","","410","253","573","298","580","712","319","800"
"17","","2024年(令和6年)","2960","","平均所得金額以下の世帯の割合【%】","110","","総数","","61.9","63.8","59.7","62.5","59.8","59.6","65.5","61.8"
